"","season","section","site","treatment","plot","spp_code","total_abund"
"1","Fall","S4","AMBJ","MOW",23,"AMSP",39
"2","Fall","S4","AMBJ","MOW",23,"ANGE",1
"3","Fall","S4","AMBJ","MOW",23,"CEFO",1
"4","Fall","S4","AMBJ","MOW",23,"CHAL",2
"5","Fall","S4","AMBJ","MOW",23,"COCA",99
"6","Fall","S4","AMBJ","MOW",23,"DACA",2
"7","Fall","S4","AMBJ","MOW",23,"LECA",1
"8","Fall","S4","AMBJ","MOW",23,"MELU",1
"9","Fall","S4","AMBJ","MOW",23,"MOFI",121
"10","Fall","S4","AMBJ","MOW",23,"OEBI",17
"11","Fall","S4","AMBJ","MOW",23,"OXST",1
"12","Fall","S4","AMBJ","MOW",23,"PAVI",2
"13","Fall","S4","AMBJ","MOW",23,"RUHI",4
"14","Fall","S4","AMBJ","MOW",23,"SCSC",1
"15","Fall","S4","AMBJ","MOW",23,"SOSP",13
"16","Fall","S4","AMBJ","MOW",23,"STME",1
"17","Fall","S4","AMBJ","MOW",23,"VEAG",2
"18","Fall","S4","AMBJ","MOW",23,"VEAR",16
