"","season","section","site","treatment","plot","spp_code","total_abund"
"1","Spring","S4","BNSH","RES",15,"AMSP",445
"2","Spring","S4","BNSH","RES",15,"COCA",4
"3","Spring","S4","BNSH","RES",15,"HEGI",5
"4","Spring","S4","BNSH","RES",15,"LACO",4
"5","Spring","S4","BNSH","RES",15,"LIVU",1
"6","Spring","S4","BNSH","RES",15,"MOFI",1
"7","Spring","S4","BNSH","RES",15,"OXST",2
"8","Spring","S4","BNSH","RES",15,"PAMI",1
"9","Spring","S4","BNSH","RES",15,"PYTE",9
"10","Spring","S4","BNSH","RES",15,"RUHI",6
"11","Spring","S4","BNSH","RES",15,"SOSP",124
"12","Spring","S4","BNSH","RES",15,"TRPR",4
"13","Spring","S4","BNSH","RES",15,"TRRE",1
