"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"PONO",1,1196,22.5,-44.7,89.7,22.5,3.1,1.4
"RUHI",2,730,13.7,-10.1,37.6,36.2,2.9,2.9
"OEBI",3,608,11.4,-3.9,26.8,47.6,2.8,4.3
"SOSP",4,479,9,-1.2,19.2,56.7,2.7,5.8
"CHAL",5,441,8.3,-16.4,33,64.9,2.6,7.2
"MOFI",6,364,6.8,-11.4,25.1,71.8,2.6,8.7
"COCA",7,318,6,-8.4,20.3,77.8,2.5,10.1
"AMSP",8,155,2.9,-0.2,6,80.7,2.2,11.6
"VETH",9,145,2.7,-4,9.5,83.4,2.2,13
"CELO",10,102,1.9,-3.2,7,85.3,2,14.5
"OXST",11,78,1.5,-2.3,5.3,86.8,1.9,15.9
"RUCR",12,74,1.4,-3,5.8,88.2,1.9,17.4
"ERAN",13,58,1.1,-1.4,3.5,89.3,1.8,18.8
"HEGI",14,53,1,-2.8,4.8,90.3,1.7,20.3
"LIVU",15,52,1,0.6,1.4,91.3,1.7,21.7
"LACO",16,41,0.8,-0.2,1.7,92,1.6,23.2
"PAVI",17,38,0.7,-0.6,2,92.7,1.6,24.6
"POOL",18,32,0.6,-2.2,3.4,93.3,1.5,26.1
"VEAR",19,28,0.5,-0.5,1.5,93.9,1.4,27.5
"POAR",20,26,0.5,0.1,0.9,94.4,1.4,29
"HEHE",21,24,0.5,-1.2,2.1,94.8,1.4,30.4
"TRPR",22,22,0.4,0,0.8,95.2,1.3,31.9
"DACA",23,20,0.4,0.3,0.5,95.6,1.3,33.3
"ABTH",24,18,0.3,-1.2,1.9,95.9,1.3,34.8
"PLMA",25,18,0.3,-0.8,1.4,96.3,1.3,36.2
"MELU",26,17,0.3,-0.1,0.7,96.6,1.2,37.7
"AMAR",27,16,0.3,-0.7,1.3,96.9,1.2,39.1
"PONE",28,16,0.3,-0.7,1.3,97.2,1.2,40.6
"ANGE",29,15,0.3,-0.5,1,97.5,1.2,42
"PORE",30,13,0.2,-0.5,1,97.7,1.1,43.5
"CEFO",31,13,0.2,-0.2,0.7,98,1.1,44.9
"SONI",32,12,0.2,-0.8,1.3,98.2,1.1,46.4
"PYTE",33,11,0.2,-0.5,0.9,98.4,1,47.8
"PEMU",34,10,0.2,-0.8,1.1,98.6,1,49.3
"CIVU",35,8,0.2,0,0.3,98.7,0.9,50.7
"DECA",36,8,0.2,-0.4,0.7,98.9,0.9,52.2
"TAOF",37,6,0.1,-0.3,0.5,99,0.8,53.6
"ECCR",38,5,0.1,-0.1,0.3,99.1,0.7,55.1
"HYPE",39,4,0.1,-0.3,0.4,99.2,0.6,56.5
"VEUR",40,4,0.1,-0.1,0.2,99.2,0.6,58
"TRRE",41,3,0.1,-0.1,0.2,99.3,0.5,59.4
"FRVE",42,3,0.1,-0.2,0.3,99.4,0.5,60.9
"AMRE",43,2,0,-0.1,0.2,99.4,0.3,62.3
"CIXX",44,2,0,-0.1,0.2,99.4,0.3,63.8
"LASA",45,2,0,0,0.1,99.5,0.3,65.2
"BAVU",46,2,0,-0.2,0.2,99.5,0.3,66.7
"COLA",47,2,0,-0.2,0.2,99.5,0.3,68.1
"COTR",48,2,0,-0.2,0.2,99.6,0.3,69.6
"SCSC",49,2,0,-0.1,0.2,99.6,0.3,71
"AGAL",50,1,0,-0.1,0.1,99.6,0,72.5
"CIIN",51,1,0,-0.1,0.1,99.7,0,73.9
"CISP",52,1,0,-0.1,0.1,99.7,0,75.4
"LECA",53,1,0,-0.1,0.1,99.7,0,76.8
"MESA",54,1,0,-0.1,0.1,99.7,0,78.3
"MOVE",55,1,0,-0.1,0.1,99.7,0,79.7
"PACA",56,1,0,-0.1,0.1,99.8,0,81.2
"PYVI",57,1,0,-0.1,0.1,99.8,0,82.6
"TSCA",58,1,0,-0.1,0.1,99.8,0,84.1
"VISP",59,1,0,-0.1,0.1,99.8,0,85.5
"PAMI",60,1,0,0,0.1,99.8,0,87
"PIHI",61,1,0,0,0.1,99.8,0,88.4
"ECGI",62,1,0,-0.1,0.1,99.9,0,89.9
"PIEC",63,1,0,-0.1,0.1,99.9,0,91.3
"CHSE",64,1,0,-0.1,0.1,99.9,0,92.8
"RHTY",65,1,0,-0.1,0.1,99.9,0,94.2
"SIPE",66,1,0,-0.1,0.1,99.9,0,95.7
"STME",67,1,0,-0.1,0.1,100,0,97.1
"CABP",68,1,0,-0.1,0.1,100,0,98.6
"GLHE",69,1,0,-0.1,0.1,100,0,100
