"","rank","abundance","proportion","plower","pupper","accumfreq","logabun","rankfreq"
"CHAL",1,598,47.6,16,79.2,47.6,2.8,2.8
"OEBI",2,141,11.2,-2.7,25.1,58.8,2.1,5.6
"OXST",3,119,9.5,-15.3,34.2,68.3,2.1,8.3
"CEFO",4,105,8.4,-10.8,27.5,76.6,2,11.1
"COCA",5,63,5,-1.1,11.1,81.6,1.8,13.9
"MELU",6,60,4.8,-16.1,25.6,86.4,1.8,16.7
"PLMA",7,36,2.9,-4.8,10.6,89.3,1.6,19.4
"TRPR",8,29,2.3,-4.5,9.1,91.6,1.5,22.2
"LASE",9,15,1.2,-1.1,3.5,92.8,1.2,25
"SOOL",10,10,0.8,-0.9,2.5,93.6,1,27.8
"PAMI",11,8,0.6,-0.6,1.9,94.2,0.9,30.6
"PEMU",12,8,0.6,-1.4,2.7,94.8,0.9,33.3
"POAV",13,7,0.6,-1.2,2.4,95.4,0.8,36.1
"DACA",14,6,0.5,-0.6,1.5,95.9,0.8,38.9
"RUCR",15,6,0.5,-1.1,2,96.3,0.8,41.7
"TAOF",16,5,0.4,-0.4,1.2,96.7,0.7,44.4
"ANGE",17,5,0.4,-0.2,1,97.1,0.7,47.2
"PEMA",18,4,0.3,-0.7,1.3,97.5,0.6,50
"MOAL",19,3,0.2,-0.8,1.3,97.7,0.5,52.8
"SONU",20,3,0.2,-0.3,0.8,97.9,0.5,55.6
"PONO",21,3,0.2,-1,1.5,98.2,0.5,58.3
"SOSP",22,3,0.2,-0.8,1.3,98.4,0.5,61.1
"POOL",23,3,0.2,-0.5,1,98.6,0.5,63.9
"PORE",24,2,0.2,-0.4,0.7,98.8,0.3,66.7
"ERCI",25,2,0.2,-0.2,0.5,99,0.3,69.4
"PYTI",26,2,0.2,-0.7,1,99.1,0.3,72.2
"TRRE",27,2,0.2,-0.4,0.7,99.3,0.3,75
"FRVE",28,1,0.1,-0.3,0.4,99.4,0,77.8
"RARA",29,1,0.1,-0.3,0.4,99.4,0,80.6
"SONI",30,1,0.1,-0.3,0.4,99.5,0,83.3
"VEST",31,1,0.1,-0.2,0.3,99.6,0,86.1
"XXXI",32,1,0.1,-0.2,0.3,99.7,0,88.9
"AMAR",33,1,0.1,-0.3,0.5,99.8,0,91.7
"LOPE",34,1,0.1,-0.3,0.5,99.8,0,94.4
"CABP",35,1,0.1,-0.2,0.3,99.9,0,97.2
"RUHI",36,1,0.1,-0.3,0.5,100,0,100
