"","spp_code","Genus","Species","VICP","TIMH","KENN","GRNB","BNSH","DAVE","DVAG","AMBJ","BRIM"
"1","ABTH","Abutilon","theophrasti",0,0,0,0,0,3,0,18,0
"2","AGAL","Ageratina","altissima",0,0,0,0,8,0,0,1,0
"3","AMAR","Ambrosia","artemisiifolia",1,0,0,0,0,7,5,11,0
"4","AMRE","Amaranthus","retroflexus",0,0,0,0,0,0,1,1,0
"5","AMSP","Verbascum","thapsus",0,0,0,0,973,172,60,158,82
"6","ANGE","Andropogon","gerardii",2,2,1,1,0,20,3,10,2
"7","CEFO","Cerastium","fontanum",55,47,7,4,2,0,4,1,9
"8","CELO","Cenchrus","longispinus",0,0,0,0,7,0,11,1,90
"9","CHAL","Chenopodium","album",50,320,254,14,54,119,189,242,11
"10","CHSE","Euphorbia","serpyllifolia",0,0,0,0,0,0,0,1,0
"11","CIAR","Cirsium","arvense",0,0,1,0,17,5,0,1,2
"12","CIIN","Cichorium","intybus",0,0,0,0,1,0,0,1,0
"13","CIVU","Cirsium","vulgare",0,0,0,4,3,1,2,1,5
"14","COCA","Conyza","canadensis",0,33,30,26,210,28,91,189,45
"15","DACA","Daucus","carota",0,8,8,8,43,6,7,6,10
"16","DECA","Desmodium","canadense",0,0,0,0,0,1,2,7,0
"17","ECCR","Echinochloa","crus-galli",0,0,0,0,5,1,0,1,11
"18","EPLE",NA,NA,0,0,0,0,0,0,0,1,0
"19","ERAN","Erigeron","annuus",0,0,0,20,7,12,8,7,50
"20","FRVE","Fragaria","vesca",0,0,1,1,0,0,0,3,12
"21","GLHE","Glechoma","hederacea",0,0,0,0,0,0,0,1,0
"22","HEGI","Helianthus","giganteus",0,0,0,0,9,22,40,12,1
"23","HEHE","Heliopsis","helianthoides",0,0,0,0,3,2,17,7,0
"24","HYPE","Hypericum","perforatum",0,0,0,0,0,6,0,6,0
"25","LACO","Lapsana","communis",0,0,0,2,13,0,16,6,19
"26","LECA","Leonurus","cardiaca",0,0,0,0,0,0,0,1,0
"27","LIVU","Linaria","vulgaris",0,0,0,2,82,9,12,18,22
"28","MELU","Medicago","lupulina",59,4,11,14,26,6,2,9,11
"29","MESA","Medicago","sativa",0,0,0,0,6,0,0,1,0
"30","MOAL","Morus","alba",0,0,3,1,0,1,0,1,0
"31","MOFI","Monarda","fistulosa",0,0,0,18,74,24,167,177,28
"32","MOVE","Mollugo","verticillata",0,0,0,0,0,0,0,1,0
"33","OEBI","Oenothera","biennis",25,49,75,12,6,59,54,313,251
"34","OXST","Oxalis","stricta",11,163,18,30,68,35,45,44,7
"35","PACA","Panicum","capillare",0,0,0,1,0,1,0,1,0
"36","PAVI","Panicum","virgatum",0,0,0,0,1,1,3,6,29
"37","PLMA","Plantago","major",2,33,2,0,14,3,12,5,1
"38","POAR","Potentilla","argentea",0,0,0,27,3,12,10,6,12
"39","PONO","Potentilla","norvegica",3,0,0,5,0,23,4,60,1284
"40","POOL","Portulaca","oleracea",0,4,0,0,23,0,1,32,0
"41","PORE","Potentilla","recta",0,2,0,1,0,3,9,1,3
"42","PYTE","Pycnanthemum","virginianum",2,0,0,0,52,17,4,8,0
"43","RHTY","Rhus","typhina",0,0,0,3,1,0,0,1,0
"44","RUCR","Rumex","crispus",0,6,0,4,163,8,53,9,19
"45","RUHI","Rudbeckia","hirta",1,0,0,89,112,185,143,57,532
"46","SCSC","Schizachyrium","scoparium",0,0,0,0,0,0,0,2,0
"47","SIPE","Silphium","perfoliatum",0,0,0,0,0,10,0,1,0
"48","SONE","Solidago","nemoralis",0,0,0,0,0,0,0,1,0
"49","SONI","Solanum","nigrum",0,0,1,0,0,0,0,13,0
"50","SOSP","Solidago","canadensis",0,0,3,461,467,198,183,146,168
"51","STME","Stellaria","media",1,1,0,0,0,0,0,1,0
"52","TRPR","Trifolium","pratense",20,4,8,5,24,32,8,3,13
"53","TRRE","Trifolium","repens",1,0,1,3,7,20,1,1,3
"54","TSCA","Tsuga","canadensis",0,0,0,0,0,0,0,1,1
"55","VEAG","Veronica","agrestis",0,0,0,1,0,0,0,2,0
"56","VEAR","Veronica","arvensis",0,0,0,17,0,0,0,16,12
"57","VICR","Vicia","cracca",0,0,0,0,2,0,0,1,0
"58","ACRH","Acalypha","rhomboidea",0,0,0,0,3,0,0,0,0
"59","COLA","Coreopsis","lanceolata",0,0,0,0,1,5,2,0,0
"60","COTR","Coreopsis","tripteris",0,0,0,0,2,0,3,0,0
"61","HETU","Helianthus","tuberosus",0,0,0,0,1,0,0,0,0
"62","MEAR","Mentha","arvensis",0,0,0,0,17,0,0,0,0
"63","PAMI","Panicum","milliaceum",0,3,5,0,1,3,0,0,1
"64","PYMU","Pycnanthemum","muticum",0,0,0,0,1,1,0,0,0
"65","TAOF","Taraxacum","officinale",3,1,2,0,3,0,0,0,6
"66","VEST","Verbena","hastata",0,1,0,0,4,2,0,0,0
"67","VEUR","Verbenum","urticifolia",0,0,0,0,1,0,1,0,3
"68","EUGR","Euthamia","graminifolia",0,0,0,0,0,0,0,0,1
"69","LASA","Lactuca","sativa",0,0,0,0,0,0,1,0,1
"70","PIHI","Picris","hieracioides",0,0,0,0,0,0,0,0,1
"71","AGST","Agrostis","stolonifera",0,0,0,0,0,1,0,0,0
"72","BRRA","Brassica","rapa",0,0,0,0,0,1,0,0,0
"73","OCRI","Solidago","rigida",0,0,0,0,0,3,0,0,0
"74","SIAL","Sinapis","alba",0,0,0,0,0,1,0,0,0
"75","SIAR","Sinapis","arvensis",0,0,0,0,0,1,0,0,0
