"season","spp_code","Genus","Species","M4_1","M4_2","M4_3","R4_1","R4_2","R4_3","T2_1","T2_2","T2_3","status"
"Spring","ABTH","Abutilon","theophrasti",11,0,0,0,0,0,0,0,0,"E"
"Spring","ACRH","Acalypha","rhomboidea",0,0,0,0,2,0,0,0,0,"N"
"Spring","AGAL","Ageratina","altissima",1,0,0,0,8,0,0,0,0,"N"
"Spring","AGST","Agrostis","stolonifera",0,0,0,0,0,1,0,0,0,"E"
"Spring","AMAR","Ambrosia","artemisiifolia",11,3,0,0,0,6,1,0,0,"N"
"Spring","AMRE","Amaranthus","retroflexus",0,1,0,0,0,0,0,0,0,"E"
"Spring","AMSP","Verbascum","thapsus",97,16,32,0,733,110,0,0,0,"I"
"Spring","ANGE","Andropogon","gerardii",1,2,2,0,0,7,2,2,1,"SM"
"Spring","BAVU","Barbarea","vulgaris",0,2,0,0,0,0,0,0,0,"I"
"Spring","CELO","Cenchrus","longispinus",1,11,90,0,7,0,0,0,0,"N"
"Spring","CHAL","Chenopodium","album",179,87,10,0,32,68,4,0,0,"E"
"Spring","CHSE","Euphorbia","serpyllifolia",1,0,0,0,0,0,0,0,0,"N"
"Spring","CIAR","Cirsium","arvense",1,0,2,0,14,3,0,0,0,"I"
"Spring","CIIN","Cichorium","intybus",1,0,0,0,1,0,0,0,0,"I"
"Spring","COCA","Conyza","canadensis",7,4,6,1,35,11,0,0,1,"N"
"Spring","COLA","Coreopsis","lanceolata",0,0,0,0,0,4,0,0,0,"SM"
"Spring","DACA","Daucus","carota",3,2,6,0,3,3,0,0,0,"I"
"Spring","DECA","Desmodium","canadense",3,0,0,0,0,0,0,0,0,"SM"
"Spring","ERCI","Eragrostis","cilianensis",0,0,0,0,0,0,0,1,0,"E"
"Spring","HEGI","Helianthus","giganteus",11,39,0,0,8,22,0,0,0,"SM"
"Spring","HEHE","Heliopsis","helianthoides",3,3,0,0,3,1,0,0,0,"SM"
"Spring","HETU","Helianthus","tuberosus",0,0,0,0,1,0,0,0,0,"N"
"Spring","HYPE","Hypericum","perforatum",3,0,0,0,0,6,0,0,0,"I"
"Spring","LACO","Lapsana","communis",6,16,19,2,13,0,0,0,0,"E"
"Spring","LIVU","Linaria","vulgaris",18,9,11,0,70,4,0,0,0,"I"
"Spring","LOPE","Lolium","perenne",0,0,0,0,0,0,1,0,0,"E"
"Spring","MEAR","Mentha","arvensis",0,0,0,0,17,0,0,0,0,"N"
"Spring","MELU","Medicago","lupulina",1,0,9,9,18,5,16,3,1,"E"
