"","season","site_name","site_code","treatment","plot","spp_code","total_abund"
"1","Fall","AMBJ","M4_1","MOW",1,"AMRE",1
"2","Fall","AMBJ","M4_1","MOW",1,"AMSP",5
"3","Fall","AMBJ","M4_1","MOW",1,"CHAL",1
"4","Fall","AMBJ","M4_1","MOW",1,"CIVU",1
"5","Fall","AMBJ","M4_1","MOW",1,"ERAN",1
"6","Fall","AMBJ","M4_1","MOW",1,"MOFI",4
"7","Fall","AMBJ","M4_1","MOW",1,"OEBI",10
"8","Fall","AMBJ","M4_1","MOW",1,"PONO",1
"9","Fall","AMBJ","M4_1","MOW",1,"POOL",1
"10","Fall","AMBJ","M4_1","MOW",1,"RUHI",1
"11","Fall","AMBJ","M4_1","MOW",1,"SONI",1
"12","Fall","AMBJ","M4_1","MOW",1,"SOSP",7
"13","Fall","AMBJ","M4_1","MOW",1,"TSCA",1
"14","Fall","AMBJ","M4_1","MOW",1,"VICR",1
"15","Fall","AMBJ","M4_1","MOW",3,"ANGE",5
"16","Fall","AMBJ","M4_1","MOW",3,"CHAL",1
"17","Fall","AMBJ","M4_1","MOW",3,"COCA",1
"18","Fall","AMBJ","M4_1","MOW",3,"HEHE",2
"19","Fall","AMBJ","M4_1","MOW",3,"MOFI",3
"20","Fall","AMBJ","M4_1","MOW",3,"OEBI",5
"21","Fall","AMBJ","M4_1","MOW",3,"OXST",16
"22","Fall","AMBJ","M4_1","MOW",3,"PYTE",1
"23","Fall","AMBJ","M4_1","MOW",3,"RUHI",11
"24","Fall","AMBJ","M4_1","MOW",3,"SOSP",4
"25","Fall","AMBJ","M4_1","MOW",3,"TRRE",1
"26","Fall","AMBJ","M4_1","MOW",5,"AMSP",1
"27","Fall","AMBJ","M4_1","MOW",5,"ANGE",3
"28","Fall","AMBJ","M4_1","MOW",5,"CHAL",8
"29","Fall","AMBJ","M4_1","MOW",5,"COCA",1
"30","Fall","AMBJ","M4_1","MOW",5,"MOFI",10
"31","Fall","AMBJ","M4_1","MOW",5,"OEBI",2
"32","Fall","AMBJ","M4_1","MOW",5,"OXST",1
"33","Fall","AMBJ","M4_1","MOW",5,"PORE",1
"34","Fall","AMBJ","M4_1","MOW",5,"RUHI",7
"35","Fall","AMBJ","M4_1","MOW",5,"SCSC",1
"36","Fall","AMBJ","M4_1","MOW",5,"SOSP",5
"37","Fall","AMBJ","M4_1","MOW",5,"TRPR",1
"38","Fall","AMBJ","M4_1","MOW",11,"CHAL",10
"39","Fall","AMBJ","M4_1","MOW",11,"COCA",2
"40","Fall","AMBJ","M4_1","MOW",11,"ECCR",1
"41","Fall","AMBJ","M4_1","MOW",11,"HEHE",1
"42","Fall","AMBJ","M4_1","MOW",11,"MOFI",24
"43","Fall","AMBJ","M4_1","MOW",11,"OEBI",12
"44","Fall","AMBJ","M4_1","MOW",11,"OXST",3
"45","Fall","AMBJ","M4_1","MOW",11,"POAR",1
"46","Fall","AMBJ","M4_1","MOW",11,"RUHI",8
"47","Fall","AMBJ","M4_1","MOW",11,"SOSP",11
"48","Fall","AMBJ","M4_1","MOW",11,"TRPR",1
"49","Fall","AMBJ","M4_1","MOW",13,"ABTH",7
"50","Fall","AMBJ","M4_1","MOW",13,"COCA",45
"51","Fall","AMBJ","M4_1","MOW",13,"DACA",1
"52","Fall","AMBJ","M4_1","MOW",13,"ERAN",3
"53","Fall","AMBJ","M4_1","MOW",13,"HYPE",3
"54","Fall","AMBJ","M4_1","MOW",13,"MELU",7
"55","Fall","AMBJ","M4_1","MOW",13,"OEBI",8
"56","Fall","AMBJ","M4_1","MOW",13,"OXST",1
"57","Fall","AMBJ","M4_1","MOW",13,"RUCR",6
"58","Fall","AMBJ","M4_1","MOW",13,"RUHI",1
"59","Fall","AMBJ","M4_1","MOW",13,"SONE",1
"60","Fall","AMBJ","M4_1","MOW",15,"AMSP",4
"61","Fall","AMBJ","M4_1","MOW",15,"CHAL",8
"62","Fall","AMBJ","M4_1","MOW",15,"COCA",2
"63","Fall","AMBJ","M4_1","MOW",15,"DECA",4
"64","Fall","AMBJ","M4_1","MOW",15,"ERAN",1
"65","Fall","AMBJ","M4_1","MOW",15,"HEHE",1
"66","Fall","AMBJ","M4_1","MOW",15,"MOFI",3
"67","Fall","AMBJ","M4_1","MOW",15,"MOVE",1
"68","Fall","AMBJ","M4_1","MOW",15,"OEBI",47
"69","Fall","AMBJ","M4_1","MOW",15,"RUHI",3
"70","Fall","AMBJ","M4_1","MOW",21,"AMSP",2
"71","Fall","AMBJ","M4_1","MOW",21,"CHAL",27
"72","Fall","AMBJ","M4_1","MOW",21,"COCA",3
"73","Fall","AMBJ","M4_1","MOW",21,"FRVE",3
"74","Fall","AMBJ","M4_1","MOW",21,"MOFI",9
"75","Fall","AMBJ","M4_1","MOW",21,"OEBI",7
"76","Fall","AMBJ","M4_1","MOW",21,"OXST",3
"77","Fall","AMBJ","M4_1","MOW",21,"PLMA",1
"78","Fall","AMBJ","M4_1","MOW",21,"PONO",2
"79","Fall","AMBJ","M4_1","MOW",21,"RUHI",12
"80","Fall","AMBJ","M4_1","MOW",21,"SOSP",6
"81","Fall","AMBJ","M4_1","MOW",23,"AMSP",39
"82","Fall","AMBJ","M4_1","MOW",23,"ANGE",1
"83","Fall","AMBJ","M4_1","MOW",23,"CEFO",1
"84","Fall","AMBJ","M4_1","MOW",23,"CHAL",2
"85","Fall","AMBJ","M4_1","MOW",23,"COCA",99
"86","Fall","AMBJ","M4_1","MOW",23,"DACA",2
"87","Fall","AMBJ","M4_1","MOW",23,"LECA",1
"88","Fall","AMBJ","M4_1","MOW",23,"MELU",1
"89","Fall","AMBJ","M4_1","MOW",23,"MOFI",121
"90","Fall","AMBJ","M4_1","MOW",23,"OEBI",17
"91","Fall","AMBJ","M4_1","MOW",23,"OXST",1
"92","Fall","AMBJ","M4_1","MOW",23,"PAVI",2
"93","Fall","AMBJ","M4_1","MOW",23,"RUHI",4
"94","Fall","AMBJ","M4_1","MOW",23,"SCSC",1
"95","Fall","AMBJ","M4_1","MOW",23,"SOSP",13
"96","Fall","AMBJ","M4_1","MOW",23,"STME",1
"97","Fall","AMBJ","M4_1","MOW",23,"VEAG",2
"98","Fall","AMBJ","M4_1","MOW",23,"VEAR",16
"99","Fall","AMBJ","M4_1","MOW",25,"AMSP",10
"100","Fall","AMBJ","M4_1","MOW",25,"CHAL",6
"101","Fall","AMBJ","M4_1","MOW",25,"COCA",29
"102","Fall","AMBJ","M4_1","MOW",25,"EPLE",1
"103","Fall","AMBJ","M4_1","MOW",25,"ERAN",2
"104","Fall","AMBJ","M4_1","MOW",25,"GLHE",1
"105","Fall","AMBJ","M4_1","MOW",25,"HEGI",1
"106","Fall","AMBJ","M4_1","MOW",25,"MOAL",1
"107","Fall","AMBJ","M4_1","MOW",25,"MOFI",1
"108","Fall","AMBJ","M4_1","MOW",25,"OEBI",22
"109","Fall","AMBJ","M4_1","MOW",25,"PACA",1
"110","Fall","AMBJ","M4_1","MOW",25,"PONO",1
"111","Fall","AMBJ","M4_1","MOW",25,"RUCR",1
"112","Fall","AMBJ","M4_1","MOW",25,"RUHI",3
"113","Fall","AMBJ","M4_1","MOW",25,"SOSP",20
"114","Fall","BNSH","R4_2","RES",1,"AMSP",1
"115","Fall","BNSH","R4_2","RES",1,"CHAL",3
"116","Fall","BNSH","R4_2","RES",1,"DACA",2
"117","Fall","BNSH","R4_2","RES",1,"ECCR",2
"118","Fall","BNSH","R4_2","RES",1,"MOFI",13
"119","Fall","BNSH","R4_2","RES",1,"OXST",1
"120","Fall","BNSH","R4_2","RES",1,"RUHI",4
"121","Fall","BNSH","R4_2","RES",1,"SOSP",2
"122","Fall","BNSH","R4_2","RES",3,"AMSP",22
"123","Fall","BNSH","R4_2","RES",3,"CHAL",1
"124","Fall","BNSH","R4_2","RES",3,"CIVU",3
"125","Fall","BNSH","R4_2","RES",3,"COCA",3
"126","Fall","BNSH","R4_2","RES",3,"ECCR",2
"127","Fall","BNSH","R4_2","RES",3,"ERAN",1
"128","Fall","BNSH","R4_2","RES",3,"LIVU",6
"129","Fall","BNSH","R4_2","RES",3,"MOFI",5
"130","Fall","BNSH","R4_2","RES",3,"OEBI",1
"131","Fall","BNSH","R4_2","RES",3,"PYTE",1
"132","Fall","BNSH","R4_2","RES",3,"RUCR",1
"133","Fall","BNSH","R4_2","RES",3,"RUHI",8
"134","Fall","BNSH","R4_2","RES",3,"SOSP",5
"135","Fall","BNSH","R4_2","RES",3,"VICR",1
"136","Fall","BNSH","R4_2","RES",5,"ACRH",1
"137","Fall","BNSH","R4_2","RES",5,"CIAR",3
"138","Fall","BNSH","R4_2","RES",5,"COCA",8
"139","Fall","BNSH","R4_2","RES",5,"COLA",1
"140","Fall","BNSH","R4_2","RES",5,"COTR",2
"141","Fall","BNSH","R4_2","RES",5,"ERAN",2
"142","Fall","BNSH","R4_2","RES",5,"LIVU",1
"143","Fall","BNSH","R4_2","RES",5,"MELU",1
"144","Fall","BNSH","R4_2","RES",5,"MOFI",19
"145","Fall","BNSH","R4_2","RES",5,"OXST",1
"146","Fall","BNSH","R4_2","RES",5,"POAR",1
"147","Fall","BNSH","R4_2","RES",5,"RUHI",16
"148","Fall","BNSH","R4_2","RES",5,"SOSP",18
"149","Fall","BNSH","R4_2","RES",5,"VICR",1
"150","Fall","BNSH","R4_2","RES",11,"AMSP",8
"151","Fall","BNSH","R4_2","RES",11,"CHAL",2
"152","Fall","BNSH","R4_2","RES",11,"COCA",8
"153","Fall","BNSH","R4_2","RES",11,"DACA",32
"154","Fall","BNSH","R4_2","RES",11,"ERAN",3
"155","Fall","BNSH","R4_2","RES",11,"LIVU",1
"156","Fall","BNSH","R4_2","RES",11,"POOL",10
"157","Fall","BNSH","R4_2","RES",11,"RUCR",55
"158","Fall","BNSH","R4_2","RES",11,"RUHI",1
"159","Fall","BNSH","R4_2","RES",11,"SOSP",13
"160","Fall","BNSH","R4_2","RES",11,"TAOF",1
"161","Fall","BNSH","R4_2","RES",13,"AMSP",2
"162","Fall","BNSH","R4_2","RES",13,"COCA",11
"163","Fall","BNSH","R4_2","RES",13,"HEGI",1
"164","Fall","BNSH","R4_2","RES",13,"LIVU",1
"165","Fall","BNSH","R4_2","RES",13,"MELU",1
"166","Fall","BNSH","R4_2","RES",13,"PYTE",2
"167","Fall","BNSH","R4_2","RES",13,"RUHI",4
"168","Fall","BNSH","R4_2","RES",13,"SOSP",8
"169","Fall","BNSH","R4_2","RES",13,"TRPR",1
"170","Fall","BNSH","R4_2","RES",15,"AMSP",115
"171","Fall","BNSH","R4_2","RES",15,"CHAL",1
"172","Fall","BNSH","R4_2","RES",15,"COCA",73
"173","Fall","BNSH","R4_2","RES",15,"DACA",1
"174","Fall","BNSH","R4_2","RES",15,"ECCR",1
"175","Fall","BNSH","R4_2","RES",15,"LIVU",1
"176","Fall","BNSH","R4_2","RES",15,"MOFI",3
"177","Fall","BNSH","R4_2","RES",15,"OEBI",3
"178","Fall","BNSH","R4_2","RES",15,"OXST",2
"179","Fall","BNSH","R4_2","RES",15,"PYTE",1
"180","Fall","BNSH","R4_2","RES",15,"RUHI",10
"181","Fall","BNSH","R4_2","RES",15,"SOSP",11
"182","Fall","BNSH","R4_2","RES",21,"AMSP",15
"183","Fall","BNSH","R4_2","RES",21,"CHAL",2
"184","Fall","BNSH","R4_2","RES",21,"COCA",6
"185","Fall","BNSH","R4_2","RES",21,"DACA",3
"186","Fall","BNSH","R4_2","RES",21,"MELU",3
"187","Fall","BNSH","R4_2","RES",21,"RUCR",41
"188","Fall","BNSH","R4_2","RES",21,"RUHI",2
"189","Fall","BNSH","R4_2","RES",21,"TRPR",1
"190","Fall","BNSH","R4_2","RES",23,"AMSP",21
"191","Fall","BNSH","R4_2","RES",23,"CHAL",13
"192","Fall","BNSH","R4_2","RES",23,"COCA",52
"193","Fall","BNSH","R4_2","RES",23,"DACA",1
"194","Fall","BNSH","R4_2","RES",23,"ERAN",1
"195","Fall","BNSH","R4_2","RES",23,"LIVU",1
"196","Fall","BNSH","R4_2","RES",23,"MELU",1
"197","Fall","BNSH","R4_2","RES",23,"MOFI",22
"198","Fall","BNSH","R4_2","RES",23,"OEBI",1
"199","Fall","BNSH","R4_2","RES",23,"POOL",1
"200","Fall","BNSH","R4_2","RES",23,"RUHI",11
"201","Fall","BNSH","R4_2","RES",23,"SOSP",5
"202","Fall","BNSH","R4_2","RES",23,"TRRE",1
"203","Fall","BNSH","R4_2","RES",23,"VEST",1
"204","Fall","BNSH","R4_2","RES",25,"AMSP",56
"205","Fall","BNSH","R4_2","RES",25,"CEFO",2
"206","Fall","BNSH","R4_2","RES",25,"COCA",14
"207","Fall","BNSH","R4_2","RES",25,"DACA",1
"208","Fall","BNSH","R4_2","RES",25,"LIVU",1
"209","Fall","BNSH","R4_2","RES",25,"MELU",2
"210","Fall","BNSH","R4_2","RES",25,"MOFI",5
"211","Fall","BNSH","R4_2","RES",25,"PLMA",6
"212","Fall","BNSH","R4_2","RES",25,"RUHI",4
"213","Fall","BNSH","R4_2","RES",25,"SOSP",36
"214","Fall","BRIM","M4_3","MOW",1,"COCA",2
"215","Fall","BRIM","M4_3","MOW",1,"ERAN",2
"216","Fall","BRIM","M4_3","MOW",1,"FRVE",1
"217","Fall","BRIM","M4_3","MOW",1,"MOFI",1
"218","Fall","BRIM","M4_3","MOW",1,"OEBI",22
"219","Fall","BRIM","M4_3","MOW",1,"PIHI",1
"220","Fall","BRIM","M4_3","MOW",1,"PONO",1
"221","Fall","BRIM","M4_3","MOW",1,"RUHI",65
"222","Fall","BRIM","M4_3","MOW",1,"SOSP",20
"223","Fall","BRIM","M4_3","MOW",3,"CEFO",2
"224","Fall","BRIM","M4_3","MOW",3,"COCA",6
"225","Fall","BRIM","M4_3","MOW",3,"FRVE",11
"226","Fall","BRIM","M4_3","MOW",3,"MELU",1
"227","Fall","BRIM","M4_3","MOW",3,"OEBI",32
"228","Fall","BRIM","M4_3","MOW",3,"OXST",3
"229","Fall","BRIM","M4_3","MOW",3,"POAR",12
"230","Fall","BRIM","M4_3","MOW",3,"RUCR",3
"231","Fall","BRIM","M4_3","MOW",3,"RUHI",81
"232","Fall","BRIM","M4_3","MOW",3,"SOSP",1
"233","Fall","BRIM","M4_3","MOW",11,"AMSP",1
"234","Fall","BRIM","M4_3","MOW",11,"DACA",1
"235","Fall","BRIM","M4_3","MOW",11,"ERAN",4
"236","Fall","BRIM","M4_3","MOW",11,"MOFI",9
"237","Fall","BRIM","M4_3","MOW",11,"OEBI",6
"238","Fall","BRIM","M4_3","MOW",11,"PONO",511
"239","Fall","BRIM","M4_3","MOW",11,"RUHI",37
