"Section","Site","Treatment","Plot","total_abund"
"S2","KENN","TIL","P01",1
"S2","KENN","TIL","P03",3
"S2","KENN","TIL","P05",8
"S2","KENN","TIL","P11",2
"S2","KENN","TIL","P13",2
"S2","KENN","TIL","P15",1
"S2","KENN","TIL","P23",2
"S2","TIMH","TIL","P01",3
"S2","TIMH","TIL","P03",5
"S2","TIMH","TIL","P05",2
"S2","TIMH","TIL","P11",2
"S2","TIMH","TIL","P13",3
"S2","TIMH","TIL","P15",5
"S2","TIMH","TIL","P21",6
"S2","TIMH","TIL","P23",3
"S2","TIMH","TIL","P25",4
"S2","VICP","TIL","P01",2
"S2","VICP","TIL","P03",6
"S2","VICP","TIL","P05",8
"S2","VICP","TIL","P11",5
"S2","VICP","TIL","P21",5
"S2","VICP","TIL","P23",1
"S2","VICP","TIL","P25",5
"S4","AMBJ","MOW","P01",23
"S4","AMBJ","MOW","P03",29
"S4","AMBJ","MOW","P05",45
"S4","AMBJ","MOW","P11",68
"S4","AMBJ","MOW","P13",195
"S4","AMBJ","MOW","P15",36
"S4","AMBJ","MOW","P21",93
"S4","AMBJ","MOW","P23",114
"S4","AMBJ","MOW","P25",172
"S4","BNSH","RES","P01",19
"S4","BNSH","RES","P03",87
"S4","BNSH","RES","P05",170
"S4","BNSH","RES","P11",122
"S4","BNSH","RES","P13",114
"S4","BNSH","RES","P15",607
"S4","BNSH","RES","P21",123
"S4","BNSH","RES","P23",197
"S4","BNSH","RES","P25",197
"S4","BRIM","MOW","P01",69
"S4","BRIM","MOW","P03",94
"S4","BRIM","MOW","P05",27
"S4","BRIM","MOW","P11",764
"S4","BRIM","MOW","P13",24
"S4","BRIM","MOW","P15",40
"S4","BRIM","MOW","P21",114
"S4","BRIM","MOW","P23",36
"S4","BRIM","MOW","P25",126
"S4","BSNH","RES","P23",2
"S4","BVAG","MOW","P21",2
"S4","DAVE","RES","P01",47
"S4","DAVE","RES","P03",141
"S4","DAVE","RES","P05",54
"S4","DAVE","RES","P11",62
"S4","DAVE","RES","P13",67
"S4","DAVE","RES","P15",38
"S4","DAVE","RES","P21",102
"S4","DAVE","RES","P23",76
"S4","DAVE","RES","P25",33
"S4","DVAG","MOW","P01",84
"S4","DVAG","MOW","P03",65
"S4","DVAG","MOW","P05",28
"S4","DVAG","MOW","P11",44
"S4","DVAG","MOW","P13",38
"S4","DVAG","MOW","P15",34
"S4","DVAG","MOW","P21",28
"S4","DVAG","MOW","P23",36
"S4","DVAG","MOW","P25",39
"S4","GRNB","RES","P01",68
"S4","GRNB","RES","P03",37
"S4","GRNB","RES","P05",30
"S4","GRNB","RES","P11",19
"S4","GRNB","RES","P13",22
"S4","GRNB","RES","P15",47
"S4","GRNB","RES","P21",37
"S4","GRNB","RES","P23",16
"S4","GRNB","RES","P25",14
