Genus,Species,Synonyms,Authority,Ontario Wet Meadow,Ontario Butterfly Meadow,Ontario Short Wet Meadow,Ontario Dry Grass,Ontario Short Dry,TRCA Upland Slope ,Ontario Resilient Area Meadow
Andropogon,gerardii,,Vitman,0,1,0,1,0,1,0
Apocynum,cannabinum,,L.,0,1,0,0,0,0,0
Asclepias,tuberosa,,L.,0,1,0,1,1,0,0
Asclepias,syriaca,,L.,0,1,0,1,0,1,1
Asclepias,incarnata,,L.,1,0,1,0,0,0,0
Bromus,ciliatus,,L.,1,0,1,0,0,0,0
Carex,bebbii,,Olney ex Fernald,1,0,1,0,0,0,0
Carex,stipata,,Muhl. ex Willd.,1,0,1,0,0,0,0
Carex,vulpinoidea,,Michx.,1,0,1,0,0,0,0
Danthonia,spicata,,(L.) P. Beauv. ex Roem. & Schult.,0,0,0,0,1,0,0
Desmodium,canadense,,(L.) DC.,0,1,0,1,0,1,1
Elymus,riparius,,Wiegand,1,0,1,0,0,0,0
Elymus,virginicus,,L.,1,0,1,0,0,0,0
Elymus,canadensis,,L.,0,1,0,1,0,1,1
Elymus,trachycaulus ,,(Link) Gould ex Shinners,0,0,0,0,1,0,0
Eupatorium,perfoliatum,,L.,1,0,0,0,0,0,0
Euthamia,graminifolia,Solidago graminifolia,(L.) Nutt.,1,1,0,0,0,0,0
Eutrochium,maculatum,Eupatorium maculatum,(L.) E.E. Lamont,1,0,0,0,0,0,0
Glyceria,striata,,(Lam.) Hitchc.,1,0,1,0,0,0,0
Helenium,autumnale,Helanthum autumnal,L.,0,1,0,1,0,0,0
Heliopsis,helianthoides,,(L.) Sweet,0,1,0,1,0,1,1
Juncus,arcticus,Juncus barticus,Willd.,1,0,1,0,0,0,0
Juncus,articulatus,,L.,1,0,1,0,0,0,0
Juncus,effusus,,L.,1,0,1,0,0,0,0
Juncus,tenuis,,Willd.,1,0,1,0,0,0,0
Juncus,torreyi,,Coville,1,0,1,0,0,0,0
Lespedeza,capitata,,Michx.,0,1,0,1,1,0,0
Lespedeza,hirta,,(L.) Hornem.,0,0,0,0,1,0,0
Liatris,cylindracea,,Michx.,0,1,0,0,1,0,0
Lobelia,siphilitica,,L.,1,0,1,0,0,0,0
Lobelia ,cardinalis,,L.,1,0,1,0,0,0,0
Mimulus,ringens,,L.,1,0,1,0,0,0,0
Monarda,fistulosa,,L.,1,1,1,1,0,1,1
Oenothera,biennis,,L.,1,1,1,1,0,0,1
Panicum,virgatum,,L.,1,1,0,1,0,1,1
Penstemon,digitalis,,Nutt. ex Sims,1,1,1,0,1,0,0
Penstemon,hirsutus,,(L.) Willd.,0,1,0,0,1,0,0
Physostegia,virginiana,,(L.) Benth.,1,0,1,0,0,0,0
Potentilla,arguta,Drymocallis arguta,Pursh,0,1,0,0,1,0,0
Pycnanthemum,virginianum,,(L.) T. Dur. & B.D. Jacks. ex B.L. Rob. & Fernald,0,1,0,1,0,1,1
Rudbeckia,laciniata,,L.,1,0,0,0,0,0,0
Rudbeckia,hirta,,L.,1,1,1,1,1,1,1
Schizachyrium,scoparium,,(Michx.) Nash,0,1,0,1,1,1,1
Scirpus,atrovirens,,Willd.,1,0,1,0,0,0,0
Scirpus,cyperinus,,(L.) Kunth,1,0,0,0,0,0,0
Silphium,perfoliatum,,L.,0,1,0,0,0,0,1
Sisyrinchium,montanum,,Greene,0,1,0,0,1,0,0
Solidago,canadensis,,L.,0,0,0,0,0,1,1
Solidago,nemoralis ,,Aiton,0,1,0,1,1,0,0
Solidago,juncea,,Aiton,0,0,0,0,0,1,0
Sorghastrum,nutans,,(L.) Nash,1,1,0,1,0,1,1
Sporobolus,cryptandrus,,(Torr.) A. Gray,0,1,0,1,1,0,0
Symphyotrichum,pilosum,,(Willd.) G.L. Nesom,1,0,0,0,0,0,0
Symphyotrichum,ericoides,Aster ericoides,(L.) G.L. Nesom,1,1,0,1,0,0,0
Symphyotrichum,novae-angliae,Aster novae-angliae,(L.) G.L. Nesom,1,1,0,1,0,1,0
Symphyotrichum,puniceum,Aster puniceus,(L.) ç. Lšve & D. Lšve,1,0,0,0,0,0,0
Symphyotrichum,pilosum,Aster pilosus,(Willd.) G.L. Nesom,1,0,0,0,0,0,0
Symphyotrichum,oolentangiense,Aster azureus,(Riddell) G.L. Nesom,0,1,0,1,1,0,0
Symphyotrichum,lateriflorum,Aster lateriflorus,(L.) ç. Lšve & D. Lšve,0,0,0,0,1,0,0
Symphyotrichum,urophyllum,,(Lindl.) G.L. Nesom,0,0,0,0,1,0,0
Symphyotrichum,laeve,,(L.) ç. Lšve & D. Lšve,0,0,0,0,1,1,0
Verbena,hastata,,L.,1,1,1,0,0,0,0
Verbena,stricta,,Vent.,0,1,0,0,0,0,0
