"season","spp_code","Genus","Species","M4_1","M4_2","M4_3","R4_1","R4_2","R4_3","T2_1","T2_2","T2_3"
"Spring","ABTH","Abutilon","theophrasti",11,0,0,0,0,0,0,0,0
"Spring","ACRH","Acalypha","rhomboidea",0,0,0,0,2,0,0,0,0
"Spring","AGAL","Ageratina","altissima",1,0,0,0,8,0,0,0,0
"Spring","AGST","Agrostis","stolonifera",0,0,0,0,0,1,0,0,0
"Spring","AMAR","Ambrosia","artemisiifolia",11,3,0,0,0,6,1,0,0
"Spring","AMRE","Amaranthus","retroflexus",0,1,0,0,0,0,0,0,0
"Spring","AMSP","Verbascum","thapsus",97,16,32,0,733,110,0,0,0
"Spring","ANGE","Andropogon","gerardii",1,2,2,0,0,7,2,2,1
"Spring","BAVU","Barbarea","vulgaris",0,2,0,0,0,0,0,0,0
"Spring","CELO","Cenchrus","longispinus",1,11,90,0,7,0,0,0,0
"Spring","CHAL","Chenopodium","album",179,87,10,0,32,68,4,0,0
"Spring","CHSE","Euphorbia","serpyllifolia",1,0,0,0,0,0,0,0,0
"Spring","CIAR","Cirsium","arvense",1,0,2,0,14,3,0,0,0
"Spring","CIIN","Cichorium","intybus",1,0,0,0,1,0,0,0,0
"Spring","COCA","Conyza","canadensis",7,4,6,1,35,11,0,0,1
"Spring","COLA","Coreopsis","lanceolata",0,0,0,0,0,4,0,0,0
"Spring","DACA","Daucus","carota",3,2,6,0,3,3,0,0,0
"Spring","DECA","Desmodium","canadense",3,0,0,0,0,0,0,0,0
"Spring","ERCI","Eragrostis","cilianensis",0,0,0,0,0,0,0,1,0
"Spring","HEGI","Helianthus","giganteus",11,39,0,0,8,22,0,0,0
"Spring","HEHE","Heliopsis","helianthoides",3,3,0,0,3,1,0,0,0
"Spring","HETU","Helianthus","tuberosus",0,0,0,0,1,0,0,0,0
"Spring","HYPE","Hypericum","perforatum",3,0,0,0,0,6,0,0,0
"Spring","LACO","Lapsana","communis",6,16,19,2,13,0,0,0,0
"Spring","LIVU","Linaria","vulgaris",18,9,11,0,70,4,0,0,0
"Spring","LOPE","Lolium","perenne",0,0,0,0,0,0,1,0,0
"Spring","MEAR","Mentha","arvensis",0,0,0,0,17,0,0,0,0
"Spring","MELU","Medicago","lupulina",1,0,9,9,18,5,16,3,1
"Spring","MESA","Medicago","sativa",1,0,0,0,6,0,0,0,0
"Spring","MOAL","Morus","alba",0,0,0,1,0,0,0,0,0
"Spring","MOFI","Monarda","fistulosa",2,4,0,1,7,4,0,0,0
"Spring","OCRI","Solidago","rigida",0,0,0,0,0,3,0,0,0
"Spring","OEBI","Oenothera","biennis",183,31,96,3,1,38,0,0,0
"Spring","OXST","Oxalis","stricta",19,17,1,18,64,27,1,16,2
"Spring","PACA","Panicum","capillare",0,0,0,0,0,0,0,2,5
"Spring","PAMI","Panicum","miliaceum",0,0,1,0,1,3,0,1,0
"Spring","PAVI","Panicum","virgatum",4,3,29,0,1,1,0,0,0
"Spring","PEMU","Persicaria","maculosa",0,9,0,0,0,0,0,0,0
"Spring","PLMA","Plantago","major",4,10,1,0,8,2,0,0,1
"Spring","POAR","Potentilla","argentea",5,6,0,24,2,10,0,0,0
"Spring","PONO","Potentilla","norvegica",56,3,771,4,0,14,1,0,0
"Spring","POOL","Portulaca","oleracea",31,0,0,0,12,0,0,2,0
"Spring","PRVU","Prunella","vulgaris",0,0,0,1,0,0,0,0,0
"Spring","PYMU","Pycnanthemum","muticum",0,0,0,0,1,1,0,0,0
"Spring","PYTE","Pycnanthemum","virginianum",7,4,0,0,48,15,0,0,0
"Spring","RHTY","Rhus","typhina",1,0,0,3,1,0,0,0,0
"Spring","RUCR","Rumex","crispus",2,33,11,0,66,8,0,0,0
"Spring","RUHI","Rudbeckia","hirta",7,9,76,1,52,30,0,0,0
"Spring","SIAL","Sinapis","alba",0,0,0,0,0,1,0,0,0
"Spring","SIAR","Sinapis","arvensis",0,0,0,0,0,1,0,0,0
"Spring","SIPE","Silphium","perfoliatum",1,0,0,0,0,0,0,0,0
"Spring","SONI","Solanum","nigrum",12,0,0,0,0,0,0,0,0
"Spring","SONU","Sorghastrum","nutans",0,0,0,0,0,0,0,1,2
"Spring","SOSP","Solidago","canadensis",80,68,92,214,369,161,0,0,0
"Spring","TAOF","Taraxacum","officinale",0,0,6,0,2,0,0,0,0
"Spring","TRPR","Trifolium","pratense",1,5,5,5,22,28,5,3,5
"Spring","TRRE","Trifolium","repens",0,0,3,3,6,20,1,0,1
"Spring","VEAR","Veronica","arvensis",0,0,12,0,0,0,0,0,0
"Spring","VEST","Verbena","hastata",0,0,0,0,3,2,0,1,0
"Spring","VEUR","Verbena","urticifolia",0,1,3,0,1,0,0,0,0
"Spring","XXXI","Euphorbia","spp.",0,0,0,0,0,0,0,1,0
"Fall","ABTH","Abutilon","theophrasti",7,0,0,0,0,3,0,0,0
"Fall","ACRH","Acalypha","rhomboidea",0,0,0,0,1,0,0,0,0
"Fall","AMAR","Ambrosia","artemisiifolia",0,2,0,0,0,1,0,0,0
"Fall","AMBL","Amaranthus","blitoides",0,0,0,0,0,0,0,1,0
"Fall","AMRE","Amaranthus","retroflexus",1,0,0,0,0,0,0,0,0
"Fall","AMSP","Verbascum","thapsus",61,44,50,0,240,62,0,0,0
"Fall","ANGE","Andropogon","gerardii",9,1,0,1,0,13,0,0,0
"Fall","BAVU","Barbarea","vulgaris",0,1,0,0,0,0,0,0,0
"Fall","BRRA","Brassica","rapa",0,0,0,0,0,1,0,0,0
"Fall","CABP","Capsella","bursa-pastoris",0,1,0,0,0,0,0,2,0
"Fall","CAPE","Carex","spp.",0,0,0,1,0,0,0,0,0
"Fall","CAPR","Cardamine","pratensis",0,1,0,0,0,0,0,0,0
"Fall","CEFO","Cerastium","fontanum",1,4,9,4,2,0,55,47,7
"Fall","CHAL","Chenopodium","album",63,102,1,14,22,51,46,320,254
"Fall","CIAR","Cirsium","arvense",0,0,0,0,3,2,0,0,1
"Fall","CIVU","Cirsium","vulgare",1,2,5,4,3,1,0,0,0
"Fall","COCA","Conyza","canadensis",182,87,39,25,175,17,0,33,29
"Fall","COLA","Coreopsis","lanceolata",0,2,0,0,1,1,0,0,0
"Fall","COTR","Coreopsis","tripteris",0,3,0,0,2,0,0,0,0
"Fall","DACA","Daucus","carota",3,5,4,8,40,3,0,8,8
"Fall","DECA","Desmodium","canadense",4,2,0,0,0,1,0,0,0
"Fall","ECCR","Echinochloa","crus-galli",1,0,11,0,5,1,0,0,0
"Fall","EPLE","Pennisetum","glaucum",1,0,0,0,0,0,0,0,0
"Fall","ERAN","Erigeron","annuus",7,8,50,20,7,12,0,0,0
"Fall","ERCI","Eragrostis","cilianensis",0,1,0,0,0,0,1,0,0
"Fall","EUGR","Euthamia","graminifolia",0,0,1,0,0,0,0,0,0
"Fall","FRVE","Fragaria","vesca",3,0,12,1,0,0,0,0,1
"Fall","GLHE","Glechoma","hederacea",1,0,0,0,0,0,0,0,0
"Fall","HEGI","Helianthus","giganteus",1,1,1,0,1,0,0,0,0
"Fall","HEHE","Heliopsis","helianthoides",4,14,0,0,0,1,0,0,0
"Fall","HYPE","Hypericum","perforatum",3,0,0,0,0,0,0,0,0
"Fall","LASA","Lactuca","sativa",0,1,1,0,0,0,0,0,0
"Fall","LASE","Lactuca","serriola",0,0,0,0,0,0,8,5,4
"Fall","LECA","Leonurus","cardiaca",1,0,0,0,0,0,0,0,0
"Fall","LIVU","Linaria","vulgaris",0,3,11,2,12,5,0,0,0
"Fall","MELU","Medicago","lupulina",8,2,2,5,8,1,43,1,10
"Fall","MOAL","Morus","alba",1,0,0,0,0,1,0,0,3
"Fall","MOFI","Monarda","fistulosa",175,163,28,17,67,20,0,0,0
"Fall","MOVE","Mollugo","verticillata",1,0,0,0,0,0,0,0,0
"Fall","OEBI","Oenothera","biennis",130,23,155,9,5,21,25,49,75
"Fall","OXST","Oxalis","stricta",25,28,6,12,4,8,10,147,16
"Fall","PACA","Panicum","capillare",1,0,0,1,0,1,0,0,0
"Fall","PAVI","Panicum","virgatum",2,0,0,0,0,0,0,0,0
"Fall","PEMU","Persicaria","maculosa",0,1,0,0,0,0,0,26,0
"Fall","PIEC","Picris","echioides",0,1,0,0,0,0,0,0,0
"Fall","PIHI","Picris","hieracioides",0,0,1,0,0,0,0,0,0
"Fall","PLMA","Plantago","major",1,2,0,0,6,1,2,33,1
"Fall","POAR","Potentilla","argentea",1,4,12,3,1,2,0,0,0
"Fall","POAV","Polygonum","aviculare",0,0,0,0,0,0,0,7,0
"Fall","PONO","Potentilla","norvegica",4,1,513,1,0,9,2,0,0
"Fall","POOL","Portulaca","oleracea",1,1,0,0,11,0,0,2,0
"Fall","PORE","Potentilla","recta",1,9,3,1,0,3,0,2,0
"Fall","PYTE","Pycnanthemum","virginianum",1,0,0,0,4,2,2,0,0
"Fall","RARA","Raphanus","raphanistrum",0,0,0,0,0,0,0,0,1
"Fall","RUAL","Rubus","allegheniensis",0,1,0,0,0,0,0,0,0
"Fall","RUCR","Rumex","crispus",7,20,8,4,97,0,0,6,0
"Fall","RUHI","Rudbeckia","hirta",50,134,456,88,60,155,1,0,0
"Fall","SCSC","Schizachyrium","scoparium",2,0,0,0,0,0,0,0,0
"Fall","SIPE","Silphium","perfoliatum",0,0,0,0,0,10,0,0,0
"Fall","SOAR","Sonchus","arvensis",0,0,0,0,0,0,1,0,1
"Fall","SONE","Solidago","nemoralis",1,0,0,0,0,0,0,0,0
"Fall","SONI","Solanum","nigrum",1,0,0,0,0,0,0,0,1
"Fall","SONU","Sorghastrum","nutans",0,0,0,0,0,1,0,0,0
"Fall","SOOL","Sonchus","oleraceus",0,1,0,0,0,0,4,2,6
"Fall","SOSP","Solidago","canadensis",66,115,76,247,98,37,0,0,3
"Fall","STME","Stellaria","media",1,0,0,0,0,0,1,1,0
"Fall","TAOF","Taraxacum","officinale",0,0,0,0,1,0,3,1,2
"Fall","TRPR","Trifolium","pratense",2,3,8,0,2,4,15,1,3
"Fall","TRRE","Trifolium","repens",1,1,0,0,1,0,0,0,0
"Fall","TSCA","Tsuga","canadensis",1,0,1,0,0,0,0,0,0
"Fall","VEAG","Veronica","agrestis",2,0,0,1,0,0,0,0,0
"Fall","VEAR","Veronica","arvensis",16,0,0,17,0,0,0,0,0
"Fall","VEST","Verbena","hastata",0,0,0,0,1,0,0,0,0
"Fall","VICR","Vicia","cracca",1,0,0,0,2,0,0,0,0
